UserID,Book-Rating,BookTitle
6181,0,Flesh Tones: A Novel
62,5,Flesh Tones: A Novel
163,0,Flesh Tones: A Novel
212,5,Flesh Tones: A Novel
250,9,Flesh Tones: A Novel
604,0,Flesh Tones: A Novel
727,0,Flesh Tones: A Novel
733,0,Flesh Tones: A Novel
1055,0,Flesh Tones: A Novel
1347,9,Flesh Tones: A Novel
1533,0,Flesh Tones: A Novel
1610,0,Flesh Tones: A Novel
1619,0,Flesh Tones: A Novel
1748,8,Flesh Tones: A Novel
2102,8,Flesh Tones: A Novel
2111,0,Flesh Tones: A Novel
2220,0,Flesh Tones: A Novel
2549,5,Flesh Tones: A Novel
2663,9,Flesh Tones: A Novel
3032,6,Flesh Tones: A Novel
3111,5,Flesh Tones: A Novel
3324,0,Flesh Tones: A Novel
3443,7,Flesh Tones: A Novel
3451,5,Flesh Tones: A Novel
3483,7,Flesh Tones: A Novel
3559,0,Flesh Tones: A Novel
3593,0,Flesh Tones: A Novel
3638,0,Flesh Tones: A Novel
3726,0,Flesh Tones: A Novel
3859,0,Flesh Tones: A Novel
3868,0,Flesh Tones: A Novel
3893,0,Flesh Tones: A Novel
3941,0,Flesh Tones: A Novel
4151,0,Flesh Tones: A Novel
4265,0,Flesh Tones: A Novel
4382,0,Flesh Tones: A Novel
4454,5,Flesh Tones: A Novel
4502,0,Flesh Tones: A Novel
4523,0,Flesh Tones: A Novel
4799,4,Flesh Tones: A Novel
4934,0,Flesh Tones: A Novel
5191,0,Flesh Tones: A Novel
5202,6,Flesh Tones: A Novel
5251,9,Flesh Tones: A Novel
5329,10,Flesh Tones: A Novel
5444,3,Flesh Tones: A Novel
5593,0,Flesh Tones: A Novel
5603,0,Flesh Tones: A Novel
5605,0,Flesh Tones: A Novel
5615,3,Flesh Tones: A Novel
5894,3,Flesh Tones: A Novel
5978,9,Flesh Tones: A Novel
6010,8,Flesh Tones: A Novel
6182,5,Rites of Passage
4163,0,Rites of Passage
6183,0,The Notebook
6286,0,The Notebook
18,0,The Notebook
82,0,The Notebook
175,10,The Notebook
202,10,The Notebook
243,0,The Notebook
281,10,The Notebook
305,9,The Notebook
323,10,The Notebook
393,0,The Notebook
492,4,The Notebook
604,6,The Notebook
625,7,The Notebook
676,10,The Notebook
706,9,The Notebook
723,0,The Notebook
772,0,The Notebook
782,10,The Notebook
799,6,The Notebook
850,0,The Notebook
893,0,The Notebook
954,5,The Notebook
1008,0,The Notebook
1065,0,The Notebook
1117,0,The Notebook
1173,0,The Notebook
1212,0,The Notebook
1487,9,The Notebook
1731,8,The Notebook
1758,8,The Notebook
1760,6,The Notebook
2157,0,The Notebook
2319,10,The Notebook
2466,6,The Notebook
2657,0,The Notebook
2689,10,The Notebook
2706,9,The Notebook
2788,0,The Notebook
2791,0,The Notebook
2864,0,The Notebook
3059,0,The Notebook
3112,0,The Notebook
3114,0,The Notebook
3144,0,The Notebook
3558,10,The Notebook
3580,0,The Notebook
3586,9,The Notebook
3599,10,The Notebook
3660,0,The Notebook
3717,0,The Notebook
3740,10,The Notebook
3799,7,The Notebook
3865,0,The Notebook
3879,0,The Notebook
3891,0,The Notebook
4003,0,The Notebook
4009,0,The Notebook
4034,9,The Notebook
4063,7,The Notebook
4094,8,The Notebook
4141,10,The Notebook
4148,8,The Notebook
